,q_id,corr_opt,diff_lev,top_id,chap_id
833,3773,4,15,3824,329
834,3774,2,17,3830,330
835,3775,3,26,3919,349
836,3776,3,15,3922,351
837,3777,3,9,3872,338
838,3778,4,2,3928,351
843,3783,1,25,3884,341
846,3786,2,26,3937,356
847,3787,1,3,3901,345
848,3788,3,26,3886,342
849,3789,4,12,3886,342
851,3791,3,15,3897,344
853,3793,2,25,3893,343
855,3795,1,26,3898,344
856,3796,4,26,3907,346
858,3798,4,26,3908,347
859,3799,1,26,3909,347
860,3800,3,10,4226,382
861,3801,3,10,4238,387
862,3802,1,10,4195,383
863,3803,3,10,4188,385
864,3804,3,10,4593,383
865,3805,4,10,4174,386
866,3806,1,10,4175,386
867,3807,4,10,4247,387
868,3808,3,10,4264,389
869,3809,2,1,4194,383
870,3810,1,10,4265,389
871,3811,3,13,4246,387
872,3812,4,10,4258,389
873,3813,1,10,4233,388
874,3814,4,10,4176,386
875,3815,2,13,4227,382
876,3816,4,13,4007,363
877,3817,3,15,4060,369
878,3818,2,10,4080,371
879,3819,2,26,4044,368
880,3820,2,15,4029,367
881,3821,2,10,3987,361
882,3822,3,1,4061,369
883,3823,4,15,4080,371
884,3824,3,15,4007,363
885,3825,2,26,4023,366
886,3826,4,26,3998,364
887,3827,4,10,4023,366
888,3828,4,10,4029,367
889,3829,3,15,4024,366
890,3830,2,15,3989,361
891,3831,1,10,4209,384
892,3832,2,1,4156,378
893,3833,3,3,4098,371
894,3834,3,26,4080,371
895,3835,2,26,4097,371
896,3836,3,1,4130,375
897,3837,3,15,4112,379
898,3838,4,15,4148,377
899,3839,3,15,3967,365
900,3840,1,13,4367,589
901,3841,3,25,4340,624
902,3842,3,1,4563,619
903,3843,2,13,4348,587
904,3844,1,13,4352,587
905,3845,1,10,4350,587
906,3846,3,1,4387,626
907,3847,1,1,4387,626
908,3848,2,13,4387,626
909,3849,1,13,4506,609
910,3850,3,13,4535,613
911,3851,1,16,4386,626
912,3852,1,13,4370,589
913,3853,2,13,4416,594
914,3854,3,13,4416,594
915,3855,3,10,4412,594
916,3856,2,10,4371,589
917,3857,3,1,4375,625
918,3858,1,1,4375,625
919,3859,2,13,4370,589
920,3860,4,1,4375,625
921,3861,3,16,4342,624
922,3862,3,10,4370,589
923,3863,2,4,4424,595
924,3864,4,22,4420,595
925,3865,3,4,4416,594
926,3866,2,22,4372,589
927,3867,4,1,4484,606
928,3868,3,27,4372,589
929,3869,4,10,4484,606
930,3870,1,13,4484,606
931,3871,2,10,4556,618
932,3872,4,13,4565,620
933,3873,1,1,4566,620
934,3874,3,10,4566,620
935,3875,4,13,4555,618
936,3876,1,16,4564,619
937,3877,3,4,4560,618
938,3878,3,4,4535,613
939,3879,2,13,4543,614
940,3880,3,1,4530,612
941,3881,2,1,4543,614
942,3882,1,13,4535,613
943,3883,1,10,4540,614
944,3884,1,1,4546,615
945,3885,3,1,4550,616
946,3886,4,1,4547,615
947,3887,4,13,4548,616
948,3888,3,10,4535,613
949,3889,3,13,4386,626
950,3890,2,13,4336,622
951,3891,4,13,4365,588
952,3892,1,22,4365,588
953,3893,3,16,4575,590
954,3894,1,4,4401,592
955,3895,1,13,4528,611
956,3896,3,25,4505,609
957,3897,4,16,4450,600
958,3898,4,1,4508,610
960,3900,1,16,4381,590
961,3901,2,16,4447,599
962,3902,2,13,4441,598
963,3903,3,4,4457,601
964,3904,3,25,4380,590
965,3905,2,1,4444,599
966,3906,3,4,4452,600
967,3907,3,13,4454,600
968,3908,1,10,4476,603
969,3909,1,13,4450,600
970,3910,1,25,4472,603
971,3911,2,13,4457,601
972,3912,2,1,4456,601
973,3913,1,13,4455,600
974,3914,1,7,4461,601
975,3915,2,1,4488,607
976,3916,1,1,4496,608
977,3917,4,13,4488,607
978,3918,3,1,4497,608
979,3919,4,13,4554,617
980,3920,4,7,4559,618
981,3921,2,1,4539,614
982,3922,3,13,4553,617
983,3923,1,1,4570,620
984,3924,2,1,4529,612
985,3925,2,10,4534,613
986,3926,2,1,4531,612
987,3927,4,13,4531,612
988,3928,1,13,4512,610
989,3929,1,13,4539,614
990,3930,4,13,4543,614
991,3931,1,1,4545,615
995,3936,1,9,3954,359
996,3937,4,26,3937,356
997,3938,3,17,3848,333
998,3939,2,12,3835,331
999,3940,2,12,3885,342
1001,3942,4,15,3921,350
1003,3944,4,26,4080,371
1004,3945,4,10,4593,383
1005,3946,1,13,4241,387
1012,3953,2,13,4252,390
1013,3954,2,13,4172,386
1014,3955,4,13,4040,368
1015,3956,2,13,4262,389
1018,3959,1,13,4207,384
1019,3960,2,1,4110,379
1021,3962,2,1,4339,624
1022,3963,3,1,4502,609
1023,3964,1,25,4349,587
1024,3965,4,1,4530,612
1025,3966,4,10,4437,597
1026,3967,2,10,4548,616
1027,3968,4,25,4370,589
1028,3969,2,1,4399,591
1029,3970,1,13,4560,618
1030,3971,2,1,4387,626
1031,3972,3,1,4541,614
1032,3973,1,10,4549,616
1033,3974,2,25,4390,591
1034,3975,2,10,4535,613
1035,3976,2,13,4554,617
1036,3977,1,7,4347,587
1037,3978,4,25,4347,587
1038,3979,3,13,4365,588
1039,3980,1,13,4564,619
1040,3981,3,13,4556,618
1041,3982,3,13,4337,622
1042,3983,2,1,4545,615
1043,3984,4,13,4439,597
1044,3985,2,7,4530,612
1045,3986,4,16,4554,617
1046,3987,3,13,4349,587
1047,3988,1,13,4506,609
1048,3989,2,25,4370,589
1049,3990,2,13,4440,598
1050,3991,4,7,4491,607
1051,3992,3,25,4545,615
1052,3993,2,7,4461,601
1053,3994,2,15,4387,626
1054,3995,4,5,4456,601
1055,3996,1,25,4382,590
1056,3997,4,15,4484,606
1057,3998,2,7,4416,594
1058,3999,3,5,4547,615
1059,4000,3,7,4438,597
1060,4001,1,7,4519,610
1061,4002,4,15,4564,619
1062,4003,3,7,4566,620
1063,4004,1,1,4484,606
1064,4005,3,13,4537,613
1065,4006,1,26,4575,590
1066,4007,3,13,4376,625
1067,4008,3,4,4373,589
1068,4009,4,4,4466,602
1069,4010,4,4,4403,592
1070,4011,2,13,4484,606
1071,4012,2,13,4513,610
1072,4013,2,10,4515,610
1073,4014,1,4,4365,588
1076,4017,4,26,3908,347
1078,4019,1,25,3931,352
1079,4020,1,12,3923,351
1080,4021,2,12,3827,329
1081,4022,3,23,3922,351
1082,4023,2,2,3925,351
1084,4025,3,25,3876,339
1085,4026,2,25,3937,356
1086,4027,3,2,3849,333
1087,4028,4,10,3893,343
1088,4029,4,15,3887,342
1089,4030,2,12,3941,358
1090,4031,2,4,3949,358
1091,4032,1,25,3933,354
1092,4033,1,15,3947,358
1093,4034,3,10,3933,354
1094,4035,1,26,3863,335
1095,4036,4,13,4223,382
1096,4037,4,1,3996,364
1097,4038,3,4,4030,367
1098,4039,2,23,4171,380
1101,4042,4,1,4156,378
1103,4044,3,1,4248,390
1104,4045,2,10,4018,366
1105,4046,1,4,4226,382
1107,4048,1,1,4231,388
1110,4051,2,1,4024,366
1112,4053,4,15,4252,390
1113,4054,4,15,4192,383
1114,4055,3,25,4056,369
